gene_name	ensembl_id	gene_synonym	category
ADAR	ENSG00000160710	ADAR	ISG
AGT	ENSG00000135744	AGT	ACE2_interactor
AGTR1	ENSG00000144891	AGTR1	ACE2_interactor
AGTR2	ENSG00000180772	AGTR2	ACE2_interactor
ANPEP	ENSG00000166825	ANPEP	HCoV-229E_receptor
ANTXR1	ENSG00000169604	ANTXR1	FURIN_interactor
ANTXR2	ENSG00000163297	ANTXR2	FURIN_interactor
ATF4	ENSG00000128272	ATF4	GRP78_interactor
ATF6	ENSG00000118217	ATF6	GRP78_interactor
BACE1	ENSG00000186318	BACE1	FURIN_interactor
BSG	ENSG00000172270	CD147	CD147
BST2	ENSG00000130303	BST2	ISG
CALR	ENSG00000179218	CALR	GRP78_interactor
CANX	ENSG00000127022	CANX	GRP78_interactor
CANX	ENSG00000283777	CANX	GRP78_interactor
CAV1	ENSG00000105974	CAV1	CD147_interactor
CD74	ENSG00000019582	CD74	ISG
CGAS	ENSG00000164430	C6orf150	ISG
COL23A1	ENSG00000050767	COL23A1	FURIN_interactor
CTSA	ENSG00000064601	CTSA	other_cathepsin
CTSB	ENSG00000164733	CTSB	entry_associated_protease
CTSB	ENSG00000285132	CTSB	entry_associated_protease
CTSC	ENSG00000109861	CTSC	other_cathepsin
CTSD	ENSG00000117984	CTSD	other_cathepsin
CTSE	ENSG00000196188	CTSE	other_cathepsin
CTSF	ENSG00000174080	CTSF	other_cathepsin
CTSG	ENSG00000100448	CTSG	other_cathepsin
CTSH	ENSG00000103811	CTSH	other_cathepsin
CTSK	ENSG00000143387	CTSK	other_cathepsin
CTSL	ENSG00000135047	CTSL	entry_associated_protease
CTSO	ENSG00000263238	CTSO	other_cathepsin
CTSO	ENSG00000256043	CTSO	other_cathepsin
CTSS	ENSG00000163131	CTSS	other_cathepsin
CTSV	ENSG00000136943	CTSV	other_cathepsin
CTSW	ENSG00000172543	CTSW	other_cathepsin
CTSZ	ENSG00000101160	CTSZ	other_cathepsin
DDIT4	ENSG00000168209	DDIT4	ISG
DDX58	ENSG00000107201	RIG-I	ISG
DDX60	ENSG00000137628	DDX60	ISG
DNAJB11	ENSG00000090520	DNAJB11	GRP78_interactor
DNAJC10	ENSG00000077232	DNAJC10	GRP78_interactor
DPP4	ENSG00000197635	DPP4	MERS-CoV_receptor
EIF2AK2	ENSG00000055332	PKR	ISG
ERN1	ENSG00000178607	ERN1	GRP78_interactor
FURIN	ENSG00000140564	FURIN	FURIN
GBP1	ENSG00000117228	GBP1	ISG
GBP2	ENSG00000162645	GBP2	ISG
HPSE	ENSG00000173083	HPSE	ISG
HSP90B1	ENSG00000166598	HSP90B1	GRP78_interactor
HSPA5	ENSG00000044574	GRP78	GRP78
IFI44L	ENSG00000137959	IFI44L	ISG
IFI6	ENSG00000126709	IFI6	ISG
IFIH1	ENSG00000115267	MDA5	ISG
IFIT1	ENSG00000185745	IFIT1	ISG
IFIT2	ENSG00000119922	IFIT2	ISG
IFIT3	ENSG00000119917	IFIT3	ISG
